"ID","pc1","pc2","Finishing","Penalties","HeadingAccuracy","ShotPower","Position"
"117","5.9119195893737","-1.2830506231354","10","18","12","53","2"
"118","5.2533462315733","-1.6739021003903","13","24","10","63","2"
"119","5.3021952768483","-0.85031176404482","10","24","23","57","2"
"120","5.224927319442","-1.3746380162937","12","26","16","60","2"
"121","5.1933014623638","-1.4809332813704","14","27","13","56","2"
"122","3.4047583997004","-1.8810868089915","14","51","14","70","2"
"123","5.1657866517763","-1.422143782808","15","25","11","56","2"
"124","5.3082639111422","-1.2451591707035","18","25","15","55","2"
"125","6.0416722170135","-1.2171737578426","10","16","14","53","2"
"126","5.7082363055861","-1.2716052171256","12","22","12","50","2"
"127","5.4959326917596","-0.97498543800581","13","19","21","55","2"
"128","5.3764523730425","-1.0069809355981","16","22","19","55","2"
"129","5.4686769187182","-1.3032805732152","12","21","13","53","2"
"130","5.7716082595879","-1.183559180113","15","16","15","56","2"
"131","5.0734517698089","-1.2991601848416","27","22","18","59","2"
"132","4.5879577586526","-1.5377134610542","13","23","18","63","2"
"133","4.9437332827869","-1.2144371727381","15","24","20","65","2"
"134","5.286947879729","-1.4644779859935","11","25","14","62","2"
"135","4.6789315113771","-1.4266382010347","13","44","14","53","2"
"136","5.4653951766424","-1.4504019877223","14","24","13","59","2"
"137","4.8258428031899","-0.79993312509734","17","27","24","55","2"
"138","4.520675458877","-1.4797873169064","18","41","14","55","2"
"139","4.9528293562469","-1.4113182362761","9","37","13","56","2"
"140","5.3117148921249","-1.3254739130719","16","22","14","56","2"
"141","5.3351956115991","-1.2755081167453","20","23","13","53","2"
"142","5.1581904969904","-1.0988298686046","14","23","19","55","2"
"143","5.9046605046421","-1.3313527461591","9","20","13","56","2"
"144","5.4238512568658","-1.1800890458533","14","24","16","52","2"
"145","5.8882057458101","-1.2320169225635","14","17","13","53","2"
"146","0.94764222905393","1.2575573774902","31","57","80","70","0"
"147","-1.6164523522322","0.33843763220248","50","80","81","81","0"
"148","2.8910070657094","2.0458841908645","35","39","83","46","0"
"149","0.55234167725819","1.3821910214517","48","44","87","75","0"
"150","2.8429864585788","1.4209307885662","26","30","77","66","0"
"151","1.4298806899963","1.4344881179765","32","55","77","54","0"
"152","-0.39692747545529","0.63227223264542","60","54","76","74","0"
"153","2.38696560173","1.6952367866727","33","47","78","42","0"
"154","2.5834789162335","1.2219233545932","26","31","80","66","0"
"155","-0.41008532623006","0.44903171701103","55","61","81","78","0"
"156","3.2200199330037","2.0162610996406","20","38","79","44","0"
"157","0.43855388529458","1.3786687926488","48","60","81","62","0"
"158","-0.15712468095103","0.73904461542457","68","54","76","72","0"
"159","2.163894265555","2.0211146366422","39","47","83","46","0"
"160","1.5697683442786","1.250013366987","37","38","83","72","0"
"161","-1.0806740537149","0.68588639285963","68","60","83","78","0"
"162","3.049867587381","2.1814670125506","34","37","84","43","0"
"163","1.4581354545383","0.9316196371611","40","44","76","73","0"
"164","1.6998608054474","1.796947419531","36","42","84","66","0"
"165","1.1087808398434","0.58021069888832","42","39","76","81","0"
"166","0.74417537964954","1.1914550290579","51","49","83","68","0"
"167","-0.54781216883302","0.82648384497783","37","72","82","75","0"
"168","1.2504317245091","1.0628198357249","32","40","81","72","0"
"169","-0.64153800284359","1.04666707544","54","77","82","74","0"
"170","-1.1598268119629","0.3580120273667","51","71","81","80","0"
"171","1.8260131764904","1.0256309346315","29","41","77","67","0"
"172","0.62056001105403","1.8285701049238","55","72","82","50","0"
"173","2.016010683224","1.9200977631274","47","43","79","48","0"
"174","0.73120328164604","1.0799588525109","52","47","78","67","0"
"175","0.49608891724142","0.92072482963051","48","53","76","63","0"
"176","3.4854723857289","2.0091970470102","26","26","74","41","0"
"177","2.4468171000093","1.3531681525031","22","32","84","77","0"
"178","2.8447893911768","1.4429972260337","27","46","73","45","0"
"179","1.9914611109944","1.2325818063356","29","47","77","65","0"
"180","2.1216567036533","1.5496478946313","25","42","76","58","0"
"181","2.4815925467254","1.7687534579814","48","35","80","54","0"
"182","2.4694757529542","1.6804601251656","26","44","77","48","0"
"183","3.9291871191055","1.9701938826174","34","19","78","51","0"
"184","2.94414242785","1.6688301991214","20","36","76","54","0"
"185","-0.60849187377114","0.1062549606758","54","65","75","76","0"
"186","1.9920200975819","1.2146600427452","27","37","77","65","0"
"187","2.598643341966","1.9554880896444","29","41","77","45","0"
"188","0.97258639411972","0.85952047320411","50","43","76","75","0"
"189","1.1513153963753","0.92547830396163","33","50","77","78","0"
"190","-0.1645809850236","1.1641918006915","48","60","84","66","0"
"191","-0.044126142674566","0.30741246155103","55","57","70","79","0"
"192","2.585069428531","1.2747951857377","38","34","70","60","0"
"193","1.3705966757247","1.3298408131814","37","51","77","54","0"
"194","2.2583494169906","1.1647942543436","49","40","74","57","0"
"195","1.365575765267","1.1919226564034","53","50","74","59","0"
"196","0.96150874635447","0.70321046877359","42","36","76","72","0"
"197","2.1246829726481","1.5143778311064","29","48","74","48","0"
